Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
0,2006,Schoolwork,Secondary Activities,Female,FALSE,34
0,2011,Schoolwork,Secondary Activities,Female,FALSE,36
0,2016,Schoolwork,Secondary Activities,Female,FALSE,41
0,1996,Schoolwork,Secondary Activities,Female,TRUE,5
0,2001,Schoolwork,Secondary Activities,Female,TRUE,7
0,2006,Schoolwork,Secondary Activities,Female,TRUE,7
0,2011,Schoolwork,Secondary Activities,Female,TRUE,9
0,2016,Schoolwork,Secondary Activities,Female,TRUE,13
0,1996,Schoolwork,Secondary Activities,Female,,41
0,2001,Schoolwork,Secondary Activities,Female,,37
0,2006,Schoolwork,Secondary Activities,Female,,35
0,2011,Schoolwork,Secondary Activities,Female,,37
0,2016,Schoolwork,Secondary Activities,Female,,41
0,1996,Schoolwork,Secondary Activities,Male,FALSE,126
0,2001,Schoolwork,Secondary Activities,Male,FALSE,95
0,2006,Schoolwork,Secondary Activities,Male,FALSE,83
0,2011,Schoolwork,Secondary Activities,Male,FALSE,78
0,2016,Schoolwork,Secondary Activities,Male,FALSE,79
0,1996,Schoolwork,Secondary Activities,Male,TRUE,4
0,2001,Schoolwork,Secondary Activities,Male,TRUE,6
0,2006,Schoolwork,Secondary Activities,Male,TRUE,6
0,2011,Schoolwork,Secondary Activities,Male,TRUE,6
0,2016,Schoolwork,Secondary Activities,Male,TRUE,9
0,1996,Schoolwork,Secondary Activities,Male,,48
0,2001,Schoolwork,Secondary Activities,Male,,43
0,2006,Schoolwork,Secondary Activities,Male,,40
0,2011,Schoolwork,Secondary Activities,Male,,42
0,2016,Schoolwork,Secondary Activities,Male,,44
0,1996,Caring and nursing,Secondary Activities,Male,,1
0,2001,Caring and nursing,Secondary Activities,Male,,1
0,2006,Caring and nursing,Secondary Activities,Male,,2
0,2011,Caring and nursing,Secondary Activities,Male,,2
0,2016,Caring and nursing,Secondary Activities,Male,,2
0,1996,Caring and nursing,Secondary Activities,Male,TRUE,1
0,2001,Caring and nursing,Secondary Activities,Male,TRUE,1
0,2006,Caring and nursing,Secondary Activities,Male,TRUE,1
0,2011,Caring and nursing,Secondary Activities,Male,TRUE,1
0,2016,Caring and nursing,Secondary Activities,Male,TRUE,1
0,1996,Caring and nursing,Secondary Activities,Male,FALSE,3
0,2001,Caring and nursing,Secondary Activities,Male,FALSE,3
0,2006,Caring and nursing,Secondary Activities,Male,FALSE,4
0,2011,Caring and nursing,Secondary Activities,Male,FALSE,4
0,2016,Caring and nursing,Secondary Activities,Male,FALSE,4
0,1996,Caring and nursing,Secondary Activities,Female,,5
0,2001,Caring and nursing,Secondary Activities,Female,,5
0,2006,Caring and nursing,Secondary Activities,Female,,5
0,2011,Caring and nursing,Secondary Activities,Female,,5
0,2016,Caring and nursing,Secondary Activities,Female,,6
0,1996,Caring and nursing,Secondary Activities,Female,TRUE,3
0,2001,Caring and nursing,Secondary Activities,Female,TRUE,4
0,2006,Caring and nursing,Secondary Activities,Female,TRUE,4
0,2011,Caring and nursing,Secondary Activities,Female,TRUE,3
0,2016,Caring and nursing,Secondary Activities,Female,TRUE,4
0,1996,Caring and nursing,Secondary Activities,Female,FALSE,7
0,2001,Caring and nursing,Secondary Activities,Female,FALSE,7
0,2006,Caring and nursing,Secondary Activities,Female,FALSE,7
0,2011,Caring and nursing,Secondary Activities,Female,FALSE,7
0,2016,Caring and nursing,Secondary Activities,Female,FALSE,8
0,1996,Shopping,Secondary Activities,Female,TRUE,30
0,2001,Shopping,Secondary Activities,Female,TRUE,31
0,2006,Shopping,Secondary Activities,Female,TRUE,31
0,2011,Shopping,Secondary Activities,Female,TRUE,32
0,2016,Shopping,Secondary Activities,Female,TRUE,32
0,1996,Shopping,Secondary Activities,Female,,33
0,2001,Shopping,Secondary Activities,Female,,33
0,2006,Shopping,Secondary Activities,Female,,34
0,2011,Shopping,Secondary Activities,Female,,35
0,2016,Shopping,Secondary Activities,Female,,34
0,1996,Shopping,Secondary Activities,Male,TRUE,11
0,2001,Shopping,Secondary Activities,Male,TRUE,13
0,2006,Shopping,Secondary Activities,Male,TRUE,14
0,2011,Shopping,Secondary Activities,Male,TRUE,15
0,2016,Shopping,Secondary Activities,Male,TRUE,15
0,1996,Shopping,Secondary Activities,Male,,11
0,2001,Shopping,Secondary Activities,Male,,14
0,2006,Shopping,Secondary Activities,Male,,15
0,2011,Shopping,Secondary Activities,Male,,17
0,2016,Shopping,Secondary Activities,Male,,17
0,1996,Work,Secondary Activities,Male,,313
0,2001,Work,Secondary Activities,Male,,296
0,2006,Work,Secondary Activities,Male,,299
0,2011,Work,Secondary Activities,Male,,286
0,2016,Work,Secondary Activities,Male,,281
0,1996,Work,Secondary Activities,Male,TRUE,420
0,2001,Work,Secondary Activities,Male,TRUE,408
0,2006,Work,Secondary Activities,Male,TRUE,420
0,2011,Work,Secondary Activities,Male,TRUE,416
0,2016,Work,Secondary Activities,Male,TRUE,409
0,1996,Work,Secondary Activities,Male,FALSE,10
0,2001,Work,Secondary Activities,Male,FALSE,7
0,2006,Work,Secondary Activities,Male,FALSE,9
0,2011,Work,Secondary Activities,Male,FALSE,6
0,2016,Work,Secondary Activities,Male,FALSE,8
0,1996,Work,Secondary Activities,Female,,158
0,2001,Work,Secondary Activities,Female,,147
0,2006,Work,Secondary Activities,Female,,152
0,2011,Work,Secondary Activities,Female,,143
0,2016,Work,Secondary Activities,Female,,149
0,1996,Work,Secondary Activities,Female,TRUE,311
0,2001,Work,Secondary Activities,Female,TRUE,291
0,2006,Work,Secondary Activities,Female,TRUE,300
0,2011,Work,Secondary Activities,Female,TRUE,290
0,2016,Work,Secondary Activities,Female,TRUE,287
0,1996,Work,Secondary Activities,Female,FALSE,7
0,2001,Work,Secondary Activities,Female,FALSE,5
0,2006,Work,Secondary Activities,Female,FALSE,5
0,2011,Work,Secondary Activities,Female,FALSE,4
0,2016,Work,Secondary Activities,Female,FALSE,4
0,1996,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,,157
