Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
3000,2016,Sleep,Primary Activities,Male,,478
4000,2016,Sleep,Primary Activities,Male,,470
5000,2016,Sleep,Primary Activities,Male,,488
6000,2016,Sleep,Primary Activities,Male,,481
7000,2016,Sleep,Primary Activities,Male,,475
8000,2016,Sleep,Primary Activities,Male,,464
9000,2016,Sleep,Primary Activities,Male,,468
10000,2016,Sleep,Primary Activities,Male,,467
11000,2016,Sleep,Primary Activities,Male,,455
12000,2016,Sleep,Primary Activities,Male,,454
13000,2016,Sleep,Primary Activities,Male,,457
14000,2016,Sleep,Primary Activities,Male,,457
15000,2016,Sleep,Primary Activities,Male,,475
16000,2016,Sleep,Primary Activities,Male,,473
17000,2016,Sleep,Primary Activities,Male,,470
18000,2016,Sleep,Primary Activities,Male,,476
19000,2016,Sleep,Primary Activities,Male,,470
20000,2016,Sleep,Primary Activities,Male,,471
21000,2016,Sleep,Primary Activities,Male,,469
22000,2016,Sleep,Primary Activities,Male,,464
23000,2016,Sleep,Primary Activities,Male,,460
24000,2016,Sleep,Primary Activities,Male,,468
25000,2016,Sleep,Primary Activities,Male,,468
26000,2016,Sleep,Primary Activities,Male,,466
27000,2016,Sleep,Primary Activities,Male,,463
28000,2016,Sleep,Primary Activities,Male,,460
29000,2016,Sleep,Primary Activities,Male,,462
30000,2016,Sleep,Primary Activities,Male,,474
31000,2016,Sleep,Primary Activities,Male,,473
32000,2016,Sleep,Primary Activities,Male,,482
33000,2016,Sleep,Primary Activities,Male,,466
34000,2016,Sleep,Primary Activities,Male,,468
35000,2016,Sleep,Primary Activities,Male,,468
36000,2016,Sleep,Primary Activities,Male,,475
37000,2016,Sleep,Primary Activities,Male,,468
38000,2016,Sleep,Primary Activities,Male,,474
39000,2016,Sleep,Primary Activities,Male,,479
40000,2016,Sleep,Primary Activities,Male,,467
41000,2016,Sleep,Primary Activities,Male,,475
42000,2016,Sleep,Primary Activities,Male,,467
43000,2016,Sleep,Primary Activities,Male,,471
44000,2016,Sleep,Primary Activities,Male,,473
45000,2016,Sleep,Primary Activities,Male,,478
46000,2016,Sleep,Primary Activities,Male,,477
47000,2016,Sleep,Primary Activities,Male,,469
0,1996,Sleep,Primary Activities,Male,TRUE,463
1000,1996,Sleep,Primary Activities,Male,TRUE,468
2000,1996,Sleep,Primary Activities,Male,TRUE,476
3000,1996,Sleep,Primary Activities,Male,TRUE,479
4000,1996,Sleep,Primary Activities,Male,TRUE,475
5000,1996,Sleep,Primary Activities,Male,TRUE,478
6000,1996,Sleep,Primary Activities,Male,TRUE,481
7000,1996,Sleep,Primary Activities,Male,TRUE,473
8000,1996,Sleep,Primary Activities,Male,TRUE,474
9000,1996,Sleep,Primary Activities,Male,TRUE,469
10000,1996,Sleep,Primary Activities,Male,TRUE,466
11000,1996,Sleep,Primary Activities,Male,TRUE,460
12000,1996,Sleep,Primary Activities,Male,TRUE,454
13000,1996,Sleep,Primary Activities,Male,TRUE,459
14000,1996,Sleep,Primary Activities,Male,TRUE,451
15000,1996,Sleep,Primary Activities,Male,TRUE,473
16000,1996,Sleep,Primary Activities,Male,TRUE,467
17000,1996,Sleep,Primary Activities,Male,TRUE,467
18000,1996,Sleep,Primary Activities,Male,TRUE,470
19000,1996,Sleep,Primary Activities,Male,TRUE,468
20000,1996,Sleep,Primary Activities,Male,TRUE,468
21000,1996,Sleep,Primary Activities,Male,TRUE,465
22000,1996,Sleep,Primary Activities,Male,TRUE,465
23000,1996,Sleep,Primary Activities,Male,TRUE,462
24000,1996,Sleep,Primary Activities,Male,TRUE,467
25000,1996,Sleep,Primary Activities,Male,TRUE,461
26000,1996,Sleep,Primary Activities,Male,TRUE,462
27000,1996,Sleep,Primary Activities,Male,TRUE,455
28000,1996,Sleep,Primary Activities,Male,TRUE,460
29000,1996,Sleep,Primary Activities,Male,TRUE,460
30000,1996,Sleep,Primary Activities,Male,TRUE,472
31000,1996,Sleep,Primary Activities,Male,TRUE,467
32000,1996,Sleep,Primary Activities,Male,TRUE,470
33000,1996,Sleep,Primary Activities,Male,TRUE,467
34000,1996,Sleep,Primary Activities,Male,TRUE,468
35000,1996,Sleep,Primary Activities,Male,TRUE,466
36000,1996,Sleep,Primary Activities,Male,TRUE,472
37000,1996,Sleep,Primary Activities,Male,TRUE,470
38000,1996,Sleep,Primary Activities,Male,TRUE,470
39000,1996,Sleep,Primary Activities,Male,TRUE,478
40000,1996,Sleep,Primary Activities,Male,TRUE,460
41000,1996,Sleep,Primary Activities,Male,TRUE,469
42000,1996,Sleep,Primary Activities,Male,TRUE,463
43000,1996,Sleep,Primary Activities,Male,TRUE,468
44000,1996,Sleep,Primary Activities,Male,TRUE,464
45000,1996,Sleep,Primary Activities,Male,TRUE,468
46000,1996,Sleep,Primary Activities,Male,TRUE,470
47000,1996,Sleep,Primary Activities,Male,TRUE,467
0,2001,Sleep,Primary Activities,Male,TRUE,459
1000,2001,Sleep,Primary Activities,Male,TRUE,461
2000,2001,Sleep,Primary Activities,Male,TRUE,469
3000,2001,Sleep,Primary Activities,Male,TRUE,479
4000,2001,Sleep,Primary Activities,Male,TRUE,464
5000,2001,Sleep,Primary Activities,Male,TRUE,475
6000,2001,Sleep,Primary Activities,Male,TRUE,475
7000,2001,Sleep,Primary Activities,Male,TRUE,471
8000,2001,Sleep,Primary Activities,Male,TRUE,466
9000,2001,Sleep,Primary Activities,Male,TRUE,461
10000,2001,Sleep,Primary Activities,Male,TRUE,464
11000,2001,Sleep,Primary Activities,Male,TRUE,452
12000,2001,Sleep,Primary Activities,Male,TRUE,452
13000,2001,Sleep,Primary Activities,Male,TRUE,451
14000,2001,Sleep,Primary Activities,Male,TRUE,451
15000,2001,Sleep,Primary Activities,Male,TRUE,468
16000,2001,Sleep,Primary Activities,Male,TRUE,467
17000,2001,Sleep,Primary Activities,Male,TRUE,460
18000,2001,Sleep,Primary Activities,Male,TRUE,469
19000,2001,Sleep,Primary Activities,Male,TRUE,468
20000,2001,Sleep,Primary Activities,Male,TRUE,464
21000,2001,Sleep,Primary Activities,Male,TRUE,460
22000,2001,Sleep,Primary Activities,Male,TRUE,459
23000,2001,Sleep,Primary Activities,Male,TRUE,457
24000,2001,Sleep,Primary Activities,Male,TRUE,465
25000,2001,Sleep,Primary Activities,Male,TRUE,457
26000,2001,Sleep,Primary Activities,Male,TRUE,456
27000,2001,Sleep,Primary Activities,Male,TRUE,450
28000,2001,Sleep,Primary Activities,Male,TRUE,458
29000,2001,Sleep,Primary Activities,Male,TRUE,454
30000,2001,Sleep,Primary Activities,Male,TRUE,461
31000,2001,Sleep,Primary Activities,Male,TRUE,473
32000,2001,Sleep,Primary Activities,Male,TRUE,473
33000,2001,Sleep,Primary Activities,Male,TRUE,461
34000,2001,Sleep,Primary Activities,Male,TRUE,459
